# If we image the track as a tunnel ===, every upper line needs to have a correlating lower line
# In addition, the track should start and end at the finish/start line

# Bottom line
479, 708 #1.
643, 711 #1.

# Upper line
479, 625 #1,2
639, 624 #1,2

643, 711 #2
785, 671 #2

639, 624
696, 587

785, 671
867, 542

696, 587 
736, 488 

867, 542 
879, 249 

736, 488 
764, 305 

879, 249 
802, 113 

764, 305 
676, 188 

802, 113 
658, 41

676, 188 
567, 178 

658, 41
288, 42

567, 178 
357, 168 

288, 42
138, 135 

357, 168 
265, 199 

138, 135 
95, 281

265, 199 
237, 284 

95, 281
91, 550

237, 284 
230, 505 

91, 550
159, 658 

230, 505 
280, 590 

159, 658 
479, 708 

280, 590 
479, 625 

#start/finish
479, 708
479, 625 
